Date, Close/Last, Volume, Open, High, Low
01/25/2021, 13475.5, 658421, 13370, 13554.5, 13189
01/22/2021, 13361.5, 404023, 13394, 13402.25, 13300.25
01/21/2021, 13395.5, 418687, 13288.5, 13423.5, 13315.75
01/20/2021, 13294.25, 431065, 13030, 13327, 13242
01/19/2021, 12985.5, 478030, 12774.25, 13032.75, 12727
01/15/2021, 12802.25, 532713, 12909, 12931.25, 12743.5
01/14/2021, 12901, 413126, 12975.5, 12966, 12881
01/13/2021, 12972.25, 411300, 12882.5, 13003, 12957.75
01/12/2021, 12890.25, 457353, 12910.75, 12912, 12767.25
01/11/2021, 12897, 448189, 13093.25, 13085.25, 12871.75
01/08/2021, 13097.25, 503019, 12927, 13125, 12919
01/07/2021, 12928, 431154, 12658.5, 12959, 12646.5
01/06/2021, 12616.75, 744102, 12800.25, 12844.25, 12491.25
01/05/2021, 12793.5, 479214, 12682.75, 12809, 12612
01/04/2021, 12685.5, 644564, 12889, 12959.75, 12522.5
12/31/2020, 12885.5, 277076, 12840, 12896, 12796.5
12/30/2020, 12841.5, 331658, 12860.75, 12909.75, 12820.5
12/29/2020, 12841, 391072, 12845.25, 12918.25, 12808.25
12/28/2020, 12832.75, 341802, 12676.25, 12855.5, 12655.25
12/24/2020, 12704.5, 171576, 12660.75, 12724, 12631.5
12/23/2020, 12651.25, 354541, 12704.75, 12738.75, 12623.5
12/22/2020, 12710, 454633, 12698.25, 12760, 12593.5
12/21/2020, 12683.5, 596035, 12760, 12782.5, 12461
12/18/2020, 12712.5, 455587, 12747.5, 12789.75, 12610
12/17/2020, 12751, 387759, 12681.25, 12766.75, 12672
12/16/2020, 12665.25, 149534, 12599.5, 12699.75, 12567.75
12/15/2020, 12591.75, 220671, 12460.5, 12604.75, 12417
12/14/2020, 12456.5, 289617, 12405.5, 12545, 12445
12/11/2020, 12368, 357201, 12391, 12379.75, 12330
12/10/2020, 12402, 527015, 12342.75, 12449, 12218.25
12/09/2020, 12367, 621556, 12657.25, 12675, 12306.75
12/08/2020, 12637.5, 359918, 12574, 12652.5, 12502
12/07/2020, 12596, 320894, 12598.25, 12602.75, 12547
12/04/2020, 12526, 316807, 12487, 12535.75, 12448.5
12/03/2020, 12462.25, 371769, 12472, 12540.25, 12444
12/02/2020, 12454.25, 398600, 12456.25, 12473.5, 12312.5
12/01/2020, 12452.25, 460966, 12336, 12512.25, 12312
11/30/2020, 12277, 490080, 12286.5, 12337.25, 12086
11/27/2020, 12257.5, 292745, 12168.25, 12307.5, 12127
11/25/2020, 12152.25, 383052, 12098.5, 12177.75, 12077.5
11/24/2020, 12076, 396613, 11909.75, 12104.5, 12034.25
11/23/2020, 11905.25, 423009, 11894, 11922.75, 11887
11/20/2020, 11905.75, 355611, 11960, 11998.75, 11873.5
11/19/2020, 11987.25, 419169, 11876, 12000, 11804.5
11/18/2020, 11897, 469311, 11972, 12027.5, 11861.5
11/17/2020, 11975, 396337, 12061.25, 12096.25, 11953.75
11/16/2020, 12005, 468184, 11957.25, 12065, 11851.75
11/13/2020, 11933.5, 443231, 11857, 11952.75, 11801.75
11/12/2020, 11820, 551079, 11898.5, 11975.75, 11775.75
11/11/2020, 11886, 538373, 11632.25, 11917.75, 11575.25
11/10/2020, 11618.25, 819551, 11863.5, 11662.25, 11585
11/09/2020, 11820.5, 712791, 12139.25, 12408.75, 11812.25
11/06/2020, 12075, 546961, 12088.5, 12109, 11868.25
11/05/2020, 12076.5, 569288, 11830, 12109.75, 12020
