Degree	GPA	modules
1	3.4915041321764635	CS2105,CS4222,CS6270,CS6205,CS4226,CS3282,CS6204,CS5223,CS3281,CS4344,CS5422,CS3237,CS5233
1	3.325943952372659	CS4271,CS4239,CS3235,CS2107,CS5439,CS5331,CS6209,CS4257,CS4236,CS5322,CS5231,CS5332,CS5476,CS6231,CS6211
1	4.816215835489658	CS5330,CS4234,CS6220,CS3230,CS4248,CS5344,CS4232,CS4243,CS5242,CS3236,CS6234,CS3225,CS2220,CS5228,CS5236
1	3.1044973214826617	CS4239,CS3234,CS3282,CS3882,CS3217,CS3281,CS5232,CS4880,CS4218,CS3202,CS5272,CS3283,CS3203,CS3205
1	4.168558280817759	CS5346,CS6213,CS4225,CS5344,CS4221,CS6280,CS6203,CS2220,CS5228,CS4220,CS4224,CS5226,CS5322
1	4.166513686206738	CS4271,CS3284,CS3219,CS3234,CS3882,CS4211,CS3271,CS5232,CS4218,CS3202,CS3236,CS3226,CS5271,CS5272,CS3205
1	4.226080449104941	CS3284,CS4347,CS4245,CS4241,CS6240,CS4235,CS6212,CS2108,CS5246,CS4242,CS3283,CS3245,CS5249
1	4.598706369355308	CS5234,CS5330,CS4234,CS3230,CS4231,CS4232,CS5230,CS3225,CS2220,CS5237,CS3233,CS4257,CS5238
1	3.7393022877407116	CS2113,CS3234,CS3217,CS3281,CS3271,CS5232,CS4880,CS3202,CS2103,CS3216,CS4211,CS3203,CS3205
1	3.021218163207434	CS4350,CS4351,CS3242,CS4240,CS3240,CS3218,CS4243,CS6206,CS5246,CS3249,CS5240,CS3241,CS3247
0	3.031541829957394	CS5346,CS5322,CS4225,CS3223,BT5110,CS4232,CS4221,CS5425,CS3225,CS6203,CS2102,CS5237,CS4220,CS4224,CS5236
1	3.6065403804717233	CS4271,CS2107,CS4239,CS5439,CS3235,CS4257,CS6209,CS5322,CS4236,CS5231,CS4238,CS3221,CS6230,CS6231,CS6211
1	3.3647564700530888	CS5218,CS3234,CS3211,CS5219,CS4216,CS5215,CS4212,CS5214,CS2104,CS3212,CS6215,CS5271,CS6202,CS4214
0	3.085607418836088	CS5330,CS4234,CS3230,CS4231,CS3236,CS5230,CS6234,CS3225,CS2220,CS5237,CS5238,CS3233,CS4257,CS5236
1	3.82869712023364	CS5218,CS3234,CS3211,CS4216,CS5219,CS4215,CS5215,CS5214,CS3212,CS6215,CS6202,CS4214
1	3.075834826712581	CS4271,CS3201,CS4239,CS2113,CS3219,CS3234,CS3282,CS3882,CS3217,CS4218,CS3216,CS5271,CS2103,CS5272,CS4211
1	3.159293906927944	CS3234,CS3211,CS5219,CS5215,CS4215,CS5214,CS2104,CS3212,CS6215,CS5271,CS4214
0	4.552518129902171	CS5218,CS3234,CS3211,CS5219,CS5215,CS4215,CS4212,CS5214,CS2104,CS6215,CS5271,CS6202,CS4214
1	3.4909867671809796	CS6231,CS4239,CS3235,CS5331,CS4236,CS5231,CS4238,CS5476,CS4257,CS5322
1	4.572015978669675	CS5234,CS5330,CS4234,CS3230,CS4231,CS4232,CS3236,CS6234,CS5230,CS5237,CS3233,CS4257,CS5236
1	3.2519962837004823	CS4271,CS3201,CS2113,CS3219,CS3282,CS3882,CS3217,CS5232,CS4218,CS3202,CS3226,CS5271,CS2103,CS5272,CS3283
0	3.246604792874009	CS4350,CS4351,CS4240,CS6243,CS6241,CS4243,CS5343,CS5246,CS4249,CS5240,CS4247
0	4.065681675493242	CS5346,CS6220,CS4225,CS3223,BT5110,CS6203,CS2102,CS2220,CS5228,CS4220,CS4224,CS5226,CS5344
0	3.4454575796764506	CS4246,CS2107,CS4239,CS6220,CS3242,CS5331,CS4236,CS3218,CS6241,CS4249,CS3221,CS5476,CS3241,CS4247,CS5322
1	3.158103190907058	CS5239,CS6270,CS5250,CS3211,CS3282,CS6213,CS4345,CS3281,CS3210,CS5222,CS2281,CS5233,CS2100,CS5424,CS4223
1	3.326296169805297	CS2105,CS4222,CS6270,CS4226,CS3282,CS5229,CS6204,CS6213,CS3103,CS3237,CS5233,CS5424,CS2100,CS4237,CS6211
0	3.3563879403216528	CS4271,CS2107,CS3235,CS5439,CS4257,CS6209,CS5322,CS4236,CS5231,CS4238,CS6230,CS5476,CS6231,CS6211
1	4.693893069638549	CS3284,CS4271,CS2113,CS5218,CS3882,CS4216,CS4212,CS5214,CS5232,CS2104,CS6280,CS6215,CS5271,CS3283,CS4214
0	3.9585260749854307	CS4245,CS3284,CS5346,CS4248,CS5342,CS6240,CS4235,CS6212,CS6207,CS5246,CS5244,CS4242,CS3283,CS3245,CS5249
1	3.667602868892299	CS3219,CS3283,CS3882,CS3217,CS5219,CS5215,CS5232,CS4218,CS4880,CS3202,CS3216,CS5271,CS5272,CS4211,CS3205
1	3.9549002976999788	CS4271,CS2107,CS3235,CS5439,CS4239,CS6209,CS4236,CS5231,CS6230,CS5476,CS6211,CS6231,CS5322
1	3.9104464592487993	CS6222,CS3235,CS4220,CS4257,CS4248,CS5339,CS5425,BT5110,CS4243,CS5242,CS6207,CS5478,CS6211,CS4244,CS5322
0	3.2818226803221666	CS4271,CS4239,CS3235,CS5439,CS4257,CS5331,CS6209,CS4238,CS5332,CS6230,CS5476,CS3221,CS6211,CS6231,CS5322
0	3.6063363551399155	CS5346,CS6213,CS5425,CS4225,BT5110,CS4221,CS5424,CS6280,CS6203,CS2102,CS2220,CS5228,CS4220,CS4224,CS5344
0	3.5072527264433093	CS2107,CS4239,CS3235,CS5439,CS6209,CS4236,CS5231,CS4238,CS5332,CS6230,CS5476,CS4257,CS5322
1	3.837717300914528	CS5234,CS5330,CS4234,CS3230,CS4231,CS4232,CS3236,CS5230,CS3225,CS2220,CS5237,CS5238,CS3233,CS4257,CS5236
1	2.279354216204175	CS6222,CS6220,CS3243,CS4248,CS4225,CS5339,BT5110,CS4221,CS4243,CS6207,CS3244,CS5226,CS4244,CS4278,CS5344
0	3.659376348940677	CS6231,CS2107,CS4239,CS5439,CS5331,CS6209,CS3211,CS4236,CS5231,CS4238,CS5476,CS6211,CS4257,CS4214,CS5322
0	3.2281373908351236	CS5218,CS3234,CS3211,CS5215,CS4215,CS5214,CS2104,CS3212,CS6215,CS5271,CS6202,CS4214
0	3.927819350245449	CS3223,CS6213,CS4225,BT5110,CS5425,CS5424,CS6280,CS6203,CS2102,CS5228,CS4220,CS5226
1	4.295002047601963	CS2105,CS6270,CS6205,CS5321,CS3282,CS5229,CS6204,CS4231,CS3281,CS5422,CS3220,CS5424,CS5233,CS5248,CS4237
1	3.5631696603342355	CS4245,CS4347,CS5346,CS5342,CS5241,CS4235,CS6207,CS6206,CS5246,CS2108,CS6212,CS5345,CS5244,CS4242,CS3245
1	3.4695848839718546	CS6231,CS4271,CS2107,CS3235,CS4236,CS5231,CS4238,CS5332,CS3221,CS5476,CS6230,CS6211,CS4257,CS5322
1	3.0127490586043786	CS5250,CS6270,CS3282,CS5223,CS4231,CS4345,CS6213,CS3210,CS5222,CS3220,CS5424,CS2100,CS4237,CS2106,CS4223
1	3.063965207288466	CS5234,CS5330,CS4234,CS3230,CS4231,CS4232,CS3236,CS6234,CS5230,CS3225,CS2220,CS5237,CS3233,CS5236
0	3.4818906197349957	CS6270,CS6205,CS5321,CS3282,CS3103,CS6204,CS6213,CS5229,CS3281,CS5223,CS5422,CS4344,CS5233,CS5424,CS4237
1	4.454310770553222	CS4245,CS3284,CS4241,CS4248,CS6240,CS4235,CS6212,CS6206,CS6207,CS5246,CS2108,CS5249,CS3283,CS5342,CS3245
0	4.182221494955994	CS2113,CS3219,CS3234,CS3282,CS3882,CS3217,CS3271,CS4880,CS3202,CS2103,CS3283,CS3205
1	3.381946831418553	CS4245,CS4347,CS4241,CS5346,CS4248,CS6240,CS5241,CS5345,CS6207,CS6212,CS6206,CS5246,CS4235,CS4242,CS3245
1	4.511871847686726	CS4222,CS6270,CS6205,CS4226,CS3282,CS3103,CS5229,CS4231,CS6213,CS3281,CS4344,CS3220,CS5233,CS5248,CS5424
0	3.0835910334542573	CS5239,CS6270,CS5250,CS3211,CS5223,CS6213,CS4345,CS3281,CS2281,CS2100,CS4237,CS2106,CS6211
0	2.3421635546448396	CS5340,CS4246,CS4220,CS6220,CS4248,CS6243,CS5425,CS5215,CS5339,CS4249,CS3244,CS5228,CS5478,CS4244,CS4278
1	3.8430476038177606	CS3284,CS4347,CS5342,CS6240,CS4235,CS5241,CS6206,CS2108,CS4242,CS5346,CS3245,CS5249
1	3.2870280121724313	CS4222,CS3103,CS5223,CS4231,CS6204,CS5229,CS6213,CS5422,CS4344,CS3237,CS5424,CS2100,CS5233,CS5248,CS4237
0	3.3633566434630238	CS3201,CS2113,CS4239,CS3234,CS3882,CS3271,CS4211,CS5232,CS3202,CS3226,CS5271,CS2103,CS5272,CS3205,CS3203
0	4.262980009322191	CS4350,CS4351,CS3242,CS6243,CS6241,CS4235,CS4243,CS5343,CS4249,CS5246,CS5240,CS3247,CS4247,CS3240
0	4.6171359108016015	CS4271,CS6231,CS4239,CS2107,CS3235,CS5331,CS5231,CS4238,CS5332,CS6230,CS5476,CS6211,CS4257,CS5322
0	3.7827026378071205	CS5218,CS3234,CS3211,CS4216,CS5219,CS5215,CS4212,CS5214,CS4215,CS2104,CS3212,CS5271,CS6202,CS4214
