,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
0,20201026-010001,6.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.2,0.0,0.0,0.0,0.0,1
1,20201026-010003,14.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,0.0,0.0,0.0,0.0,1
2,20201026-010005,19.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.8,0.0,0.0,0.0,0.0,1
3,20201026-010006,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,0.0,0.0,0.0,0.0,1
4,20201026-010007,78.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,44.0,0.0,0.0,0.0,1
5,20201026-010008,21.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.8,5.2,0.0,0.0,0.0,1
6,20201026-010009,6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,5.4,1
7,20201026-010010,11.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,10.0,1
8,20201026-010011,19.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8.2,0.0,0.0,0.0,1
9,20201026-010017,58.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.6,0.0,29.0,0.0,0.0,1
10,20201026-010019,93.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,88.2,0.0,0.0,1
11,20201026-010020,42.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.4,11.8,8.0,0.0,0.0,1
12,20201026-010021,12.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.4,0.0,0.0,0.0,0
13,20201026-010026,25.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,10.8,0.0,1
14,20201026-010027,7.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,4.0,0.0,0.0,1
15,20201026-010031,57.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.4,0.0,0.0,0.0,0.0,1
16,20201026-010032,23.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8,0.0,0.0,0.0,0.0,0
17,20201026-010033,55.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6,10.2,23.6,5.8,0.0,1
18,20201026-010035,26.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,0.0,4.6,0.0,0.0,1
19,20201026-010037,19.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,0.0,0.0,0.0,0.0,1
20,20201026-010038,9.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6,0.0,0.0,0.0,0.0,1
21,20201026-010039,11.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5.0,1
22,20201026-010041,22.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6,4.8,0.0,0.0,0.0,1
23,20201026-010043,14.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.8,0.0,0.0,0.0,0.0,1
24,20201026-010045,5.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.6,0.0,1
25,20201026-010046,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,17.4,1
26,20201026-010048,47.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10.6,0.0,6.0,7.0,15.4,1
27,20201026-010049,8.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,4.0,0.0,1
28,20201026-010050,23.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.2,0.0,0.0,0.0,0.0,1
29,20201026-010051,6.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,2.4,0.0,1
30,20201026-010053,25.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0.0,0.0,0.0,0.0,1
31,20201026-010057,21.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,20.0,1
32,20201026-010058,8.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.0,1
33,20201026-010061,22.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,14.4,1
34,20201026-010063,121.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,62.4,0.0,0.0,1
35,20201026-010064,17.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.8,0.0,0.0,0.0,0.0,1
36,20201026-010065,21.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,12.6,1
37,20201026-010067,21.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,2.6,0.0,0.0,0.0,1
38,20201026-010073,15.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.0,0.0,0.0,0.0,0.0,1
39,20201026-010074,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.4,0.0,0.0,0.0,0.0,1
40,20201026-010077,287.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,92.0,14.0,27.4,0.0,19.2,1
41,20201026-010078,21.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9.2,8.4,0.0,0.0,0.0,1
42,20201026-010079,29.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.0,0.0,0.0,0.0,0.0,1
43,20201026-010080,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6,0.0,0.0,0.0,0.0,1
44,20201026-010085,31.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.4,3.6,11.2,0.0,6.6,1
45,20201026-010089,36.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.2,5.6,0.0,0.0,0.0,1
46,20201026-010090,6.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,1
47,20201026-010091,107.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,41.0,35.8,7.0,0.0,0.0,1
48,20201026-010094,24.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11.2,0.0,0.0,0.0,0.0,1
49,20201026-010097,14.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2,0.0,0.0,0.0,0.0,1
50,20201026-010099,19.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.8,0.0,0.0,0.0,0.0,1
51,20201026-010100,13.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,5.6,0.0,0.0,0.0,1
52,20201026-010102,38.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,19.6,0.0,0.0,0.0,1
53,20201026-010109,22.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.4,0.0,0.0,0.0,0.0,1
54,20201026-010123,10.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,5.0,0.0,1
55,20201026-010124,8.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,4.2,0.0,1
56,20201026-010127,39.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,26.4,0.0,0.0,0.0,1
57,20201026-010128,13.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,12.0,1
58,20201026-010129,31.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11.0,15.0,0.0,0.0,0.0,1
59,20201026-010134,11.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.8,0.0,2.6,0.0,0.0,1
60,20201026-010135,10.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,4.4,0.0,0.0,0.0,1
61,20201026-010148,27.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,18.6,1
62,20201026-010150,12.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,9.8,1
63,20201026-010153,74.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.4,20.8,15.8,0.0,0.0,1
