Date,currency,strength
6/1/14,BTC-USD,35.81944467
7/1/14,BTC-USD,22.02614385
8/1/14,BTC-USD,23.51190476
9/1/14,BTC-USD,49.04761902
10/1/14,BTC-USD,
11/1/14,BTC-USD,
12/1/14,BTC-USD,
13/1/14,BTC-USD,41.21951239
14/1/14,BTC-USD,16.66666667
15/1/14,BTC-USD,30.37394974
16/1/14,BTC-USD,30.3715846
17/1/14,BTC-USD,38.58880863
18/1/14,BTC-USD,51.85763892
19/1/14,BTC-USD,32.74509821
20/1/14,BTC-USD,
21/1/14,BTC-USD,
22/1/14,BTC-USD,45.12346487
23/1/14,BTC-USD,
24/1/14,BTC-USD,23.68627459
25/1/14,BTC-USD,41.56565676
26/1/14,BTC-USD,
27/1/14,BTC-USD,40.02097467
28/1/14,BTC-USD,
29/1/14,BTC-USD,35.02344878
30/1/14,BTC-USD,16.66666667
31/1/14,BTC-USD,
1/2/14,BTC-USD,
2/2/14,BTC-USD,
3/2/14,BTC-USD,
4/2/14,BTC-USD,
5/2/14,BTC-USD,46.2318845
6/2/14,BTC-USD,41.00558986
7/2/14,BTC-USD,35.41134355
8/2/14,BTC-USD,
9/2/14,BTC-USD,26.47712431
10/2/14,BTC-USD,32.68883487
11/2/14,BTC-USD,39.99991024
12/2/14,BTC-USD,40.80416297
13/2/14,BTC-USD,
14/2/14,BTC-USD,16.66666667
15/2/14,BTC-USD,41.21951239
16/2/14,BTC-USD,
17/2/14,BTC-USD,45.48831565
18/2/14,BTC-USD,40.11785116
19/2/14,BTC-USD,16.66666667
20/2/14,BTC-USD,31.08688319
21/2/14,BTC-USD,32.13095252
22/2/14,BTC-USD,
23/2/14,BTC-USD,42.53968276
24/2/14,BTC-USD,42.66550248
25/2/14,BTC-USD,41.72051454
26/2/14,BTC-USD,37.08487577
27/2/14,BTC-USD,35.72948502
28/2/14,BTC-USD,42.29444477
1/3/14,BTC-USD,16.66666667
2/3/14,BTC-USD,41.21951239
3/3/14,BTC-USD,30.51136364
4/3/14,BTC-USD,
5/3/14,BTC-USD,26.1764707
6/3/14,BTC-USD,34.90958469
7/3/14,BTC-USD,38.46544106
8/3/14,BTC-USD,35.41269848
9/3/14,BTC-USD,32.06849876
10/3/14,BTC-USD,37.5607069
11/3/14,BTC-USD,
12/3/14,BTC-USD,44.14634127
13/3/14,BTC-USD,32.04588436
14/3/14,BTC-USD,42.72014394
15/3/14,BTC-USD,
16/3/14,BTC-USD,
17/3/14,BTC-USD,34.06240134
18/3/14,BTC-USD,27.11368678
19/3/14,BTC-USD,21.42156869
20/3/14,BTC-USD,16.66666667
21/3/14,BTC-USD,44.35606062
22/3/14,BTC-USD,
23/3/14,BTC-USD,48.46704203
24/3/14,BTC-USD,34.57142878
25/3/14,BTC-USD,43.07822178
26/3/14,BTC-USD,32.1692424
27/3/14,BTC-USD,46.2318845
28/3/14,BTC-USD,39.80357172
29/3/14,BTC-USD,16.66666667
30/3/14,BTC-USD,
31/3/14,BTC-USD,
1/4/14,BTC-USD,26.77777791
2/4/14,BTC-USD,33.30108907
3/4/14,BTC-USD,16.66666667
4/4/14,BTC-USD,37.5607069
5/4/14,BTC-USD,49.40236891
6/4/14,BTC-USD,
7/4/14,BTC-USD,
8/4/14,BTC-USD,
9/4/14,BTC-USD,16.66666667
10/4/14,BTC-USD,31.4492753
11/4/14,BTC-USD,35.96205933
12/4/14,BTC-USD,
13/4/14,BTC-USD,
14/4/14,BTC-USD,
15/4/14,BTC-USD,
16/4/14,BTC-USD,32.85714291
17/4/14,BTC-USD,
18/4/14,BTC-USD,
19/4/14,BTC-USD,
20/4/14,BTC-USD,
21/4/14,BTC-USD,41.37254917
22/4/14,BTC-USD,
23/4/14,BTC-USD,
24/4/14,BTC-USD,
25/4/14,BTC-USD,30.35714286
26/4/14,BTC-USD,
27/4/14,BTC-USD,41.21951239
28/4/14,BTC-USD,41.67818024
29/4/14,BTC-USD,35.57903437
30/4/14,BTC-USD,29.11616172
1/5/14,BTC-USD,
2/5/14,BTC-USD,37.96052682
3/5/14,BTC-USD,
4/5/14,BTC-USD,
5/5/14,BTC-USD,
6/5/14,BTC-USD,
7/5/14,BTC-USD,16.66666667
8/5/14,BTC-USD,16.66666667
9/5/14,BTC-USD,
10/5/14,BTC-USD,
11/5/14,BTC-USD,
12/5/14,BTC-USD,
13/5/14,BTC-USD,37.96052682
14/5/14,BTC-USD,46.2318845
15/5/14,BTC-USD,16.66666667
16/5/14,BTC-USD,
17/5/14,BTC-USD,16.66666667
18/5/14,BTC-USD,
19/5/14,BTC-USD,
20/5/14,BTC-USD,49.75711892
21/5/14,BTC-USD,
22/5/14,BTC-USD,
23/5/14,BTC-USD,
24/5/14,BTC-USD,
25/5/14,BTC-USD,
26/5/14,BTC-USD,
27/5/14,BTC-USD,45.85185212
28/5/14,BTC-USD,35.26626566
29/5/14,BTC-USD,37.48975902
30/5/14,BTC-USD,
31/5/14,BTC-USD,
1/6/14,BTC-USD,
2/6/14,BTC-USD,35.15290255
3/6/14,BTC-USD,44.04761905
4/6/14,BTC-USD,
5/6/14,BTC-USD,
6/6/14,BTC-USD,
7/6/14,BTC-USD,
8/6/14,BTC-USD,
9/6/14,BTC-USD,
10/6/14,BTC-USD,
11/6/14,BTC-USD,
12/6/14,BTC-USD,
13/6/14,BTC-USD,
14/6/14,BTC-USD,
15/6/14,BTC-USD,
16/6/14,BTC-USD,37.5607069
17/6/14,BTC-USD,
18/6/14,BTC-USD,42.53968276
19/6/14,BTC-USD,26.77777791
20/6/14,BTC-USD,
21/6/14,BTC-USD,
22/6/14,BTC-USD,45.85185212
23/6/14,BTC-USD,44.04761905
24/6/14,BTC-USD,37.5607069
25/6/14,BTC-USD,16.66666667
26/6/14,BTC-USD,
27/6/14,BTC-USD,
28/6/14,BTC-USD,
29/6/14,BTC-USD,
30/6/14,BTC-USD,21.72222229
1/7/14,BTC-USD,16.66666667
2/7/14,BTC-USD,25.6626985
3/7/14,BTC-USD,
4/7/14,BTC-USD,30.35714286
5/7/14,BTC-USD,
6/7/14,BTC-USD,
7/7/14,BTC-USD,
8/7/14,BTC-USD,
9/7/14,BTC-USD,
10/7/14,BTC-USD,25.61904772
11/7/14,BTC-USD,34.57142878
12/7/14,BTC-USD,
13/7/14,BTC-USD,
14/7/14,BTC-USD,
15/7/14,BTC-USD,
16/7/14,BTC-USD,
17/7/14,BTC-USD,
18/7/14,BTC-USD,41.21951143
19/7/14,BTC-USD,
20/7/14,BTC-USD,
21/7/14,BTC-USD,
22/7/14,BTC-USD,
23/7/14,BTC-USD,29.46078445
24/7/14,BTC-USD,
25/7/14,BTC-USD,
26/7/14,BTC-USD,16.66666667
27/7/14,BTC-USD,
28/7/14,BTC-USD,37.5607069
29/7/14,BTC-USD,
30/7/14,BTC-USD,16.66666667
31/7/14,BTC-USD,28.7969632
1/8/14,BTC-USD,
2/8/14,BTC-USD,
3/8/14,BTC-USD,
4/8/14,BTC-USD,
5/8/14,BTC-USD,
6/8/14,BTC-USD,
7/8/14,BTC-USD,
8/8/14,BTC-USD,
9/8/14,BTC-USD,
10/8/14,BTC-USD,
11/8/14,BTC-USD,
12/8/14,BTC-USD,
13/8/14,BTC-USD,
14/8/14,BTC-USD,
15/8/14,BTC-USD,16.66666667
16/8/14,BTC-USD,
17/8/14,BTC-USD,
18/8/14,BTC-USD,37.96052682
19/8/14,BTC-USD,
20/8/14,BTC-USD,26.77777791
21/8/14,BTC-USD,
22/8/14,BTC-USD,30.67460334
23/8/14,BTC-USD,
24/8/14,BTC-USD,
25/8/14,BTC-USD,
26/8/14,BTC-USD,
27/8/14,BTC-USD,50.95238098
28/8/14,BTC-USD,
29/8/14,BTC-USD,
30/8/14,BTC-USD,16.66666667
31/8/14,BTC-USD,
1/9/14,BTC-USD,41.21951239
2/9/14,BTC-USD,47.87958098
3/9/14,BTC-USD,
4/9/14,BTC-USD,
5/9/14,BTC-USD,
6/9/14,BTC-USD,
7/9/14,BTC-USD,
8/9/14,BTC-USD,27.11368678
9/9/14,BTC-USD,44.43531088
10/9/14,BTC-USD,16.66666667
11/9/14,BTC-USD,
12/9/14,BTC-USD,
13/9/14,BTC-USD,
14/9/14,BTC-USD,
15/9/14,BTC-USD,
16/9/14,BTC-USD,
17/9/14,BTC-USD,
18/9/14,BTC-USD,16.66666667
19/9/14,BTC-USD,
20/9/14,BTC-USD,
21/9/14,BTC-USD,
22/9/14,BTC-USD,35.05115114
23/9/14,BTC-USD,
24/9/14,BTC-USD,
25/9/14,BTC-USD,16.66666667
26/9/14,BTC-USD,41.56565676
27/9/14,BTC-USD,
28/9/14,BTC-USD,50.95238098
29/9/14,BTC-USD,16.66666667
30/9/14,BTC-USD,47.87958098
1/10/14,BTC-USD,
2/10/14,BTC-USD,
3/10/14,BTC-USD,
4/10/14,BTC-USD,
5/10/14,BTC-USD,41.21951143
6/10/14,BTC-USD,16.66666667
7/10/14,BTC-USD,34.68085118
8/10/14,BTC-USD,
9/10/14,BTC-USD,16.66666667
10/10/14,BTC-USD,32.74509738
11/10/14,BTC-USD,
12/10/14,BTC-USD,
