,crypto,url,date,id,username,content,text_length,content_processed,polarity,subjectivity,label,text_processed_length,tweet_num,score,magnitude,google_language,google_entities,google_categories
0,bitcoin,https://twitter.com/FT/status/420204888782798848,2014-01-06 14:47:07+00:00,420204888782798848,FT,"Bitcoin rebounds in China to top $1,000 http://t.co/51YZbIMPGq",62,bitcoin rebounds china top  ,0.5,0.5,5,28,331,0.5,0.5,en,"OTHER,PRICE,LOCATION,NUMBER",
1,bitcoin,https://twitter.com/FT/status/420215287154495489,2014-01-06 15:28:26+00:00,420215287154495489,FT,Bitcoin bounces back in China as exchanges devise work-around solutions to the regulatory crackdown: http://t.co/h1ip4fSIJO,123,bitcoin bounces back china exchanges devise workaround solutions regulatory crackdown ,0.0,0.0,3,86,330,0.0,0.0,en,"OTHER,LOCATION",
2,bitcoin,https://twitter.com/business/status/420248592109281281,2014-01-06 17:40:46+00:00,420248592109281281,business,"Bitcoin tops $1,000 again as Zynga accepts virtual money | http://t.co/qeY1gC3QLF",81,bitcoin tops  zynga accepts virtual money  ,0.0,0.0,3,43,180,0.30000001192092896,0.30000001192092896,en,"OTHER,PRICE,NUMBER,ORGANIZATION",
3,bitcoin,https://twitter.com/business/status/420368002211905536,2014-01-07 01:35:16+00:00,420368002211905536,business,Wall Street Bitcoin fans try to make real money from virtual currency | http://t.co/uqcOPYXqEv,94,wall street bitcoin fans try make real money virtual currency  ,0.2,0.30000000000000004,4,63,179,0.0,0.0,en,"OTHER,PERSON",
4,bitcoin,https://twitter.com/FT/status/420548244687826944,2014-01-07 13:31:29+00:00,420548244687826944,FT,Bundesbank warns over Bitcoin risk http://t.co/MHKhcf5LlK,57,bundesbank warns bitcoin risk ,0.0,0.0,3,30,329,-0.20000000298023224,0.20000000298023224,en,"OTHER,ORGANIZATION",
5,bitcoin,https://twitter.com/FT/status/420558742812631040,2014-01-07 14:13:12+00:00,420558742812631040,FT,From the blogs: India's central bank gets to grip with Bitcoin http://t.co/QycvntVffq - via @beyondbrics,104,blogs indias central bank gets grip bitcoin   via ,0.0,0.25,3,50,328,0.0,0.0,en,"OTHER,LOCATION,ORGANIZATION",
6,bitcoin,https://twitter.com/FT/status/420757340024233984,2014-01-08 03:22:21+00:00,420757340024233984,FT,From the blogs: India's central bank gets to grip with Bitcoin http://t.co/CFXxuxmQyz - via @beyondbrics,104,blogs indias central bank gets grip bitcoin   via ,0.0,0.25,3,50,327,0.0,0.0,en,"OTHER,LOCATION,ORGANIZATION",
7,bitcoin,https://twitter.com/business/status/420803313337380864,2014-01-08 06:25:02+00:00,420803313337380864,business,Bitcoin banned by Alibaba's Taobao after China tightens rules | http://t.co/B1am7IZ3S2,86,bitcoin banned alibabas taobao china tightens rules  ,0.0,0.0,3,53,178,-0.5,0.5,en,"OTHER,ORGANIZATION",
8,bitcoin,https://twitter.com/FT/status/420850603796205568,2014-01-08 09:32:57+00:00,420850603796205568,FT,Alibaba ban a fresh hurdle for Bitcoin http://t.co/yiU5xZVeJF,61,alibaba ban fresh hurdle bitcoin ,0.3,0.5,4,33,326,0.0,0.0,en,"OTHER,ORGANIZATION",
9,bitcoin,https://twitter.com/business/status/421027399531528192,2014-01-08 21:15:29+00:00,421027399531528192,business,Bitcoin woos Washington to ensure lawmakers don’t kill it | http://t.co/RdVv1OsxUw,82,bitcoin woos washington ensure lawmakers dont kill  ,0.0,0.0,3,52,177,0.0,0.0,en,"OTHER,PERSON,LOCATION",
10,bitcoin,https://twitter.com/WSJ/status/421234001152835584,2014-01-09 10:56:26+00:00,421234001152835584,WSJ,China's bitcoin exchanges are struggling to maneuver around tight central bank rules. http://t.co/PFFuqUrCgw,108,chinas bitcoin exchanges struggling maneuver around tight central bank rules ,-0.08928571428571429,0.26785714285714285,2,77,85,-0.20000000298023224,1.100000023841858,en,"EVENT,OTHER,ORGANIZATION",
11,bitcoin,https://twitter.com/FT/status/422717643918176256,2014-01-13 13:11:54+00:00,422717643918176256,FT,Twerking? Abenomics? Bitcoin? What were the top search terms in 2013? http://t.co/YMonnbTXul,92,twerking abenomics bitcoin top search terms  ,0.5,0.5,5,45,325,0.0,0.4000000059604645,en,"OTHER,DATE,NUMBER",
12,bitcoin,https://twitter.com/FT/status/422846806150893568,2014-01-13 21:45:09+00:00,422846806150893568,FT,Twerking? Abenomics? Bitcoin? What were the top search terms in 2013? http://t.co/XbDj1yeSip,92,twerking abenomics bitcoin top search terms  ,0.5,0.5,5,45,324,0.0,0.4000000059604645,en,"OTHER,DATE,NUMBER",
13,bitcoin,https://twitter.com/FT/status/423035739988054016,2014-01-14 10:15:54+00:00,423035739988054016,FT,Bitcoin sees light at end of regulatory tunnel http://t.co/IWArode0vZ,69,bitcoin sees light end regulatory tunnel ,0.4,0.7,4,41,323,0.0,0.0,en,"OTHER,LOCATION,EVENT",
14,bitcoin,https://twitter.com/FT/status/423164878585880576,2014-01-14 18:49:03+00:00,423164878585880576,FT,Wells Fargo calls Bitcoin summit on ‘rules of engagement’ http://t.co/DRxgW1kZc6,80,wells fargo calls bitcoin summit rules engagement ,0.0,0.0,3,50,322,0.0,0.0,en,"EVENT,OTHER,ORGANIZATION",
15,bitcoin,https://twitter.com/FT/status/423420739044511744,2014-01-15 11:45:45+00:00,423420739044511744,FT,Countries are taking divergent approaches to regulating the $10bn Bitcoin system: http://t.co/uKbEm7j7tH http://t.co/amFSNy6zEE,127,countries taking divergent approaches regulating bn bitcoin system  ,0.0,0.0,3,68,321,-0.10000000149011612,0.10000000149011612,en,"OTHER,PRICE,NUMBER,ORGANIZATION",
16,bitcoin,https://twitter.com/FT/status/423493747100635136,2014-01-15 16:35:52+00:00,423493747100635136,FT,"In the US, where Bitcoin start-ups have attracted the largest VC investments, the next few months will be pivotal.: http://t.co/VtTMlKcdmq",138,us bitcoin startups attracted largest vc investments next months pivotal ,0.25,0.4,4,73,320,0.20000000298023224,0.20000000298023224,en,"OTHER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
17,bitcoin,https://twitter.com/FT/status/423651112219320320,2014-01-16 03:01:10+00:00,423651112219320320,FT,"In the US, where Bitcoin start-ups have attracted the largest VC investments, the next few months will be pivotal.: http://t.co/ei7PQdlWom",138,us bitcoin startups attracted largest vc investments next months pivotal ,0.25,0.4,4,73,319,0.20000000298023224,0.20000000298023224,en,"OTHER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
18,bitcoin,https://twitter.com/WSJ/status/423777100374745088,2014-01-16 11:21:48+00:00,423777100374745088,WSJ,Asia's first bitcoin ATM is coming to Hong Kong. Here's how it works: http://t.co/Z6gAHYvaOM,92,asias first bitcoin atm coming hong kong heres works ,0.25,0.3333333333333333,4,53,84,0.0,0.10000000149011612,en,"OTHER,LOCATION",
19,bitcoin,https://twitter.com/business/status/423820855396028416,2014-01-16 14:15:40+00:00,423820855396028416,business,Wall Street sees Bitcoin's future more as a payment system than as a currency | http://t.co/zfAZqXMdMC,102,wall street sees bitcoins future payment system currency  ,0.0,0.125,3,58,176,0.0,0.0,en,OTHER,
