,crypto,url,date,id,username,content,text_length,content_processed,polarity,subjectivity,label,text_processed_length,tweet_num,score,magnitude,google_language,google_entities,google_categories
0,bitcoin,https://twitter.com/business/status/685269743851466752,2016-01-08 01:20:13+00:00,685269743851466752,business,Bitcoin mining is looking a bit more attractive again https://t.co/RKZtjRdvQe https://t.co/4k8LJekXxh,101,bitcoin mining looking bit attractive  ,0.8,1.0,5,39,129,0.5,0.5,en,"OTHER,NUMBER",
1,bitcoin,https://twitter.com/business/status/685449769381163008,2016-01-08 13:15:34+00:00,685449769381163008,business,Bitcoin mining is looking a bit more attractive again https://t.co/RKZtjRdvQe https://t.co/HVnLo6YVIt,101,bitcoin mining looking bit attractive  ,0.8,1.0,5,39,128,0.5,0.5,en,OTHER,
2,bitcoin,https://twitter.com/WSJ/status/688775047834677248,2016-01-17 17:29:02+00:00,688775047834677248,WSJ,Is Bitcoin breaking up? https://t.co/685aERcxvZ https://t.co/EhjhNks10n,71,bitcoin breaking  ,0.0,0.0,3,18,39,0.0,0.5,en,"OTHER,NUMBER",
3,bitcoin,https://twitter.com/WSJ/status/689004307597930498,2016-01-18 08:40:02+00:00,689004307597930498,WSJ,"Is bitcoin breaking up?    
https://t.co/rm5LkI1U1d",51,bitcoin breaking     ,0.0,0.0,3,21,38,0.10000000149011612,0.5,en,"OTHER,PRICE",
4,bitcoin,https://twitter.com/WSJ/status/689038173494767617,2016-01-18 10:54:36+00:00,689038173494767617,WSJ,Why a prominent developer has labeled the Bitcoin currency a failed experiment https://t.co/vhWvp9cnJz,102,prominent developer labeled bitcoin currency failed experiment ,0.0,0.65,3,63,37,-0.800000011920929,0.800000011920929,en,"OTHER,PERSON",
5,bitcoin,https://twitter.com/FT/status/689118576737972228,2016-01-18 16:14:06+00:00,689118576737972228,FT,"In Monday's #techFT - TV sans frontières, bitcoin has 'failed', Goat Bikes. Sign up at https://t.co/YxbLH8o3Dd https://t.co/tbpMjWGvbS",134,mondays   tv sans frontires bitcoin failed goat bikes sign  ,-0.5,0.3,1,60,197,-0.20000000298023224,0.5,en,"OTHER,CONSUMER_GOOD",
6,bitcoin,https://twitter.com/WSJ/status/689212184770015233,2016-01-18 22:26:04+00:00,689212184770015233,WSJ,Why a prominent developer has labeled the Bitcoin currency a failed experiment https://t.co/I7vEB63Kbt,102,prominent developer labeled bitcoin currency failed experiment ,0.0,0.65,3,63,36,-0.800000011920929,0.800000011920929,en,"OTHER,PERSON,PRICE",
7,bitcoin,https://twitter.com/business/status/690104950232317953,2016-01-21 09:33:36+00:00,690104950232317953,business,The next Bitcoin? China's central bank considers issuing its own digital currency https://t.co/VlNq0yjx4d https://t.co/rCgM9xbUac,129,next bitcoin chinas central bank considers issuing digital currency  ,0.0,0.08333333333333333,3,69,127,0.0,0.10000000149011612,en,"OTHER,LOCATION,ORGANIZATION",
8,bitcoin,https://twitter.com/business/status/690330736012976128,2016-01-22 00:30:47+00:00,690330736012976128,business,The next Bitcoin? China's central bank considers issuing its own digital currency https://t.co/VlNq0yjx4d https://t.co/rlhszWefHM,129,next bitcoin chinas central bank considers issuing digital currency  ,0.0,0.08333333333333333,3,69,126,0.0,0.10000000149011612,en,"OTHER,LOCATION,ORGANIZATION",
9,bitcoin,https://twitter.com/business/status/697453782909771777,2016-02-10 16:15:14+00:00,697453782909771777,business,A core bitcoin developer is offering coder-for-hire services specializing in the blockchain https://t.co/nWzRaL5KN0 https://t.co/Uyay33Pvm7,139,core bitcoin developer offering coderforhire services specializing blockchain  ,0.0,0.0,3,79,125,0.0,0.0,en,"OTHER,ORGANIZATION",
